isPruned,no_layers,no_nodes,no_epochs,no_batches,pruned_percentile,train_accuracy,test_accuracy
0,4,500-500-500-10,10,300,0.0,0.9670666456222534,0.9645000100135803
1,4,500-500-500-10,10,300,48.0,0.9663166403770447,0.963699996471405
0,4,500-500-500-10,10,300,0.0,0.9673666954040527,0.9638000130653381
1,4,500-500-500-10,10,300,49.0,0.9667333364486694,0.963100016117096
0,4,500-500-500-10,10,300,0.0,0.9684833288192749,0.9656000137329102
1,4,500-500-500-10,10,300,50.0,0.9677666425704956,0.9656999707221985
0,4,500-500-500-10,10,300,0.0,0.9667166471481323,0.9627000093460083
1,4,500-500-500-10,10,300,51.0,0.966949999332428,0.9631999731063843
0,4,500-500-500-10,10,300,0.0,0.9652666449546814,0.9617999792098999
1,4,500-500-500-10,10,300,52.0,0.965749979019165,0.9624999761581421
0,4,500-500-500-10,10,300,0.0,0.9629166722297668,0.9580000042915344
1,4,500-500-500-10,10,300,53.0,0.9632166624069214,0.9592999815940857
0,4,500-500-500-10,10,300,0.0,0.9668833613395691,0.9613999724388123
1,4,500-500-500-10,10,300,54.0,0.9653833508491516,0.9595999717712402
0,4,500-500-500-10,10,300,0.0,0.9671499729156494,0.9635000228881836
1,4,500-500-500-10,10,300,55.0,0.9678999781608582,0.9634000062942505
0,4,500-500-500-10,10,300,0.0,0.965416669845581,0.9613000154495239
1,4,500-500-500-10,10,300,56.0,0.964733362197876,0.9611999988555908
0,4,500-500-500-10,10,300,0.0,0.9625166654586792,0.9587000012397766
1,4,500-500-500-10,10,300,57.0,0.9621333479881287,0.958299994468689
0,4,500-500-500-10,10,300,0.0,0.9674166440963745,0.9616000056266785
1,4,500-500-500-10,10,300,58.0,0.9680833220481873,0.9632999897003174
0,4,500-500-500-10,10,300,0.0,0.9670833349227905,0.9624999761581421
1,4,500-500-500-10,10,300,59.0,0.966616690158844,0.9624000191688538
0,4,500-500-500-10,10,300,0.0,0.9648500084877014,0.9605000019073486
1,4,500-500-500-10,10,300,60.0,0.9637666940689087,0.9603999853134155
0,4,500-500-500-10,10,300,0.0,0.9670500159263611,0.9624000191688538
1,4,500-500-500-10,10,300,61.0,0.9666000008583069,0.9621999859809875
0,4,500-500-500-10,10,300,0.0,0.965749979019165,0.9599000215530396
1,4,500-500-500-10,10,300,62.0,0.9653833508491516,0.9603000283241272
0,4,500-500-500-10,10,300,0.0,0.9635499715805054,0.9598000049591064
1,4,500-500-500-10,10,300,63.0,0.9591000080108643,0.9549999833106995
0,4,500-500-500-10,10,300,0.0,0.9651833176612854,0.9616000056266785
1,4,500-500-500-10,10,300,64.0,0.9627833366394043,0.9598000049591064
0,4,500-500-500-10,10,300,0.0,0.9649500250816345,0.9614999890327454
1,4,500-500-500-10,10,300,65.0,0.963366687297821,0.9587000012397766
0,4,500-500-500-10,10,300,0.0,0.9656500220298767,0.9629999995231628
1,4,500-500-500-10,10,300,66.0,0.9624000191688538,0.9611999988555908
0,4,500-500-500-10,10,300,0.0,0.9681500196456909,0.9623000025749207
1,4,500-500-500-10,10,300,67.0,0.9650333523750305,0.9614999890327454
0,4,500-500-500-10,10,300,0.0,0.9657833576202393,0.9621999859809875
1,4,500-500-500-10,10,300,68.0,0.9646166563034058,0.9621999859809875
0,4,500-500-500-10,10,300,0.0,0.9635999798774719,0.9563000202178955
1,4,500-500-500-10,10,300,69.0,0.9663000106811523,0.9609000086784363
0,4,500-500-500-10,10,300,0.0,0.9647833108901978,0.9602000117301941
1,4,500-500-500-10,10,300,70.0,0.956683337688446,0.9510999917984009
0,4,500-500-500-10,10,300,0.0,0.9677333235740662,0.9635999798774719
1,4,500-500-500-10,10,300,71.0,0.9676333069801331,0.9642999768257141
0,4,500-500-500-10,10,300,0.0,0.9666000008583069,0.9639000296592712
1,4,500-500-500-10,10,300,72.0,0.9585833549499512,0.9571999907493591
0,4,500-500-500-10,10,300,0.0,0.9661499857902527,0.9611999988555908
1,4,500-500-500-10,10,300,73.0,0.9596166610717773,0.9567000269889832
0,4,500-500-500-10,10,300,0.0,0.9690666794776917,0.9645000100135803
1,4,500-500-500-10,10,300,74.0,0.9645333290100098,0.9623000025749207
0,4,500-500-500-10,10,300,0.0,0.9674999713897705,0.9631999731063843
1,4,500-500-500-10,10,300,75.0,0.9641833305358887,0.9611999988555908
0,4,500-500-500-10,10,300,0.0,0.9677000045776367,0.9635000228881836
1,4,500-500-500-10,10,300,76.0,0.9597833156585693,0.9563999772071838
0,4,500-500-500-10,10,300,0.0,0.9646499752998352,0.9610000252723694
1,4,500-500-500-10,10,300,77.0,0.9610833525657654,0.9599999785423279
0,4,500-500-500-10,10,300,0.0,0.9645166397094727,0.9611999988555908
1,4,500-500-500-10,10,300,78.0,0.9642666578292847,0.9631999731063843
0,4,500-500-500-10,10,300,0.0,0.9643666744232178,0.9593999981880188
1,4,500-500-500-10,10,300,79.0,0.9577666521072388,0.9520000219345093
0,4,500-500-500-10,10,300,0.0,0.9664166569709778,0.9628000259399414
1,4,500-500-500-10,10,300,80.0,0.9438499808311462,0.9438999891281128
0,4,500-500-500-10,10,300,0.0,0.9663833379745483,0.9664999842643738
1,4,500-500-500-10,10,300,81.0,0.9503333568572998,0.9514999985694885
0,4,500-500-500-10,10,300,0.0,0.9660999774932861,0.961899995803833
1,4,500-500-500-10,10,300,82.0,0.9569833278656006,0.9539999961853027
0,4,500-500-500-10,10,300,0.0,0.9653833508491516,0.963699996471405
1,4,500-500-500-10,10,300,83.0,0.9263499975204468,0.9258000254631042
0,4,500-500-500-10,10,300,0.0,0.9631999731063843,0.9599000215530396
1,4,500-500-500-10,10,300,84.0,0.904283344745636,0.9024999737739563
0,4,500-500-500-10,10,300,0.0,0.9673833250999451,0.9632999897003174
1,4,500-500-500-10,10,300,85.0,0.9543833136558533,0.9527999758720398
0,4,500-500-500-10,10,300,0.0,0.9683666825294495,0.9660000205039978
1,4,500-500-500-10,10,300,86.0,0.9376333355903625,0.9354000091552734
0,4,500-500-500-10,10,300,0.0,0.9672166705131531,0.9627000093460083
1,4,500-500-500-10,10,300,87.0,0.9280666708946228,0.9225000143051147
0,4,500-500-500-10,10,300,0.0,0.966783344745636,0.9635000228881836
1,4,500-500-500-10,10,300,88.0,0.9093999862670898,0.9061999917030334
0,4,500-500-500-10,10,300,0.0,0.9661499857902527,0.9628999829292297
1,4,500-500-500-10,10,300,89.0,0.9101499915122986,0.9068999886512756
0,4,500-500-500-10,10,300,0.0,0.9674500226974487,0.9625999927520752
1,4,500-500-500-10,10,300,90.0,0.9125999808311462,0.9147999882698059
0,4,500-500-500-10,10,300,0.0,0.9666833281517029,0.9611999988555908
1,4,500-500-500-10,10,300,91.0,0.8682666420936584,0.8689000010490417
0,4,500-500-500-10,10,300,0.0,0.9664499759674072,0.9620000123977661
1,4,500-500-500-10,10,300,92.0,0.9118666648864746,0.9085000157356262
0,4,500-500-500-10,10,300,0.0,0.9661999940872192,0.9616000056266785
1,4,500-500-500-10,10,300,93.0,0.7993000149726868,0.7985000014305115
0,4,500-500-500-10,10,300,0.0,0.96506667137146,0.9617000222206116
1,4,500-500-500-10,10,300,94.0,0.8057166934013367,0.8026999831199646
0,4,500-500-500-10,10,300,0.0,0.9652500152587891,0.9606999754905701
1,4,500-500-500-10,10,300,95.0,0.6709166765213013,0.6779999732971191
