isPruned,no_layers,no_nodes,no_epochs,no_batches,pruned_percentile,train_accuracy,test_accuracy
0,2,500-10,10,300,0.0,0.9661666750907898,0.965399980545044
1,2,500-10,10,300,1.0,0.9661666750907898,0.965499997138977
0,2,500-10,10,300,0.0,0.9649166464805603,0.9620000123977661
1,2,500-10,10,300,2.0,0.9649333357810974,0.9620000123977661
0,2,500-10,10,300,0.0,0.9655666947364807,0.9652000069618225
1,2,500-10,10,300,3.0,0.9656333327293396,0.9653000235557556
0,2,500-10,10,300,0.0,0.9651666879653931,0.9642999768257141
1,2,500-10,10,300,4.0,0.9652166962623596,0.9641000032424927
0,2,500-10,10,300,0.0,0.9656166434288025,0.9646999835968018
1,2,500-10,10,300,5.0,0.9656999707221985,0.9646999835968018
0,2,500-10,10,300,0.0,0.9649166464805603,0.9624000191688538
1,2,500-10,10,300,6.0,0.9650499820709229,0.9627000093460083
0,2,500-10,10,300,0.0,0.9656333327293396,0.9663000106811523
1,2,500-10,10,300,7.0,0.9655666947364807,0.9661999940872192
0,2,500-10,10,300,0.0,0.9635166525840759,0.9621000289916992
1,2,500-10,10,300,8.0,0.9633833169937134,0.9613999724388123
0,2,500-10,10,300,0.0,0.963866651058197,0.9624000191688538
1,2,500-10,10,300,9.0,0.9640666842460632,0.9624000191688538
0,2,500-10,10,300,0.0,0.9632499814033508,0.9599999785423279
1,2,500-10,10,300,10.0,0.963100016117096,0.9602000117301941
0,2,500-10,10,300,0.0,0.964900016784668,0.9638000130653381
1,2,500-10,10,300,11.0,0.9650333523750305,0.963699996471405
0,2,500-10,10,300,0.0,0.9652500152587891,0.9635999798774719
1,2,500-10,10,300,12.0,0.9653833508491516,0.9638000130653381
0,2,500-10,10,300,0.0,0.9632666707038879,0.9624999761581421
1,2,500-10,10,300,13.0,0.9635999798774719,0.9627000093460083
0,2,500-10,10,300,0.0,0.9641500115394592,0.9628000259399414
1,2,500-10,10,300,14.0,0.9638000130653381,0.963100016117096
0,2,500-10,10,300,0.0,0.9649999737739563,0.9628999829292297
1,2,500-10,10,300,15.0,0.9654333591461182,0.9632999897003174
0,2,500-10,10,300,0.0,0.9632333517074585,0.9616000056266785
1,2,500-10,10,300,16.0,0.9629833102226257,0.9613000154495239
0,2,500-10,10,300,0.0,0.9645666480064392,0.9632999897003174
1,2,500-10,10,300,17.0,0.964733362197876,0.9639999866485596
0,2,500-10,10,300,0.0,0.9618333578109741,0.9598000049591064
1,2,500-10,10,300,18.0,0.9611166715621948,0.9596999883651733
0,2,500-10,10,300,0.0,0.9636666774749756,0.9621999859809875
1,2,500-10,10,300,19.0,0.9639999866485596,0.9621000289916992
0,2,500-10,10,300,0.0,0.9650833606719971,0.9628999829292297
1,2,500-10,10,300,20.0,0.964816689491272,0.9628999829292297
0,2,500-10,10,300,0.0,0.965149998664856,0.9617999792098999
1,2,500-10,10,300,21.0,0.9652833342552185,0.9625999927520752
0,2,500-10,10,300,0.0,0.965749979019165,0.9656000137329102
1,2,500-10,10,300,22.0,0.9651833176612854,0.9650999903678894
0,2,500-10,10,300,0.0,0.965233325958252,0.9641000032424927
1,2,500-10,10,300,23.0,0.9653499722480774,0.9639999866485596
0,2,500-10,10,300,0.0,0.9641500115394592,0.963100016117096
1,2,500-10,10,300,24.0,0.9633166790008545,0.9621000289916992
0,2,500-10,10,300,0.0,0.963699996471405,0.9617999792098999
1,2,500-10,10,300,25.0,0.9626666903495789,0.9602000117301941
0,2,500-10,10,300,0.0,0.965416669845581,0.9643999934196472
1,2,500-10,10,300,26.0,0.9657333493232727,0.9652000069618225
0,2,500-10,10,300,0.0,0.9646166563034058,0.9616000056266785
1,2,500-10,10,300,27.0,0.9643499851226807,0.9621000289916992
0,2,500-10,10,300,0.0,0.9648833274841309,0.9634000062942505
1,2,500-10,10,300,28.0,0.9646499752998352,0.9628999829292297
0,2,500-10,10,300,0.0,0.9648833274841309,0.9635999798774719
1,2,500-10,10,300,29.0,0.9641500115394592,0.9634000062942505
0,2,500-10,10,300,0.0,0.964983344078064,0.9635000228881836
1,2,500-10,10,300,30.0,0.963866651058197,0.9623000025749207
0,2,500-10,10,300,0.0,0.964733362197876,0.9639999866485596
1,2,500-10,10,300,31.0,0.9646000266075134,0.9632999897003174
0,2,500-10,10,300,0.0,0.9661333560943604,0.9629999995231628
1,2,500-10,10,300,32.0,0.9653833508491516,0.9623000025749207
0,2,500-10,10,300,0.0,0.9663333296775818,0.9652000069618225
1,2,500-10,10,300,33.0,0.9663166403770447,0.9650999903678894
0,2,500-10,10,300,0.0,0.9668166637420654,0.963699996471405
1,2,500-10,10,300,34.0,0.9662666916847229,0.9628000259399414
0,2,500-10,10,300,0.0,0.9644500017166138,0.9620000123977661
1,2,500-10,10,300,35.0,0.9639833569526672,0.9621000289916992
0,2,500-10,10,300,0.0,0.9651166796684265,0.9635999798774719
1,2,500-10,10,300,36.0,0.9649999737739563,0.9638000130653381
0,2,500-10,10,300,0.0,0.9658833146095276,0.9631999731063843
1,2,500-10,10,300,37.0,0.9647666811943054,0.963100016117096
0,2,500-10,10,300,0.0,0.963366687297821,0.9617999792098999
1,2,500-10,10,300,38.0,0.9606833457946777,0.9592999815940857
0,2,500-10,10,300,0.0,0.9622166752815247,0.9606999754905701
1,2,500-10,10,300,39.0,0.9554666876792908,0.9552000164985657
0,2,500-10,10,300,0.0,0.9643499851226807,0.9613999724388123
1,2,500-10,10,300,40.0,0.9627000093460083,0.9613000154495239
0,2,500-10,10,300,0.0,0.9642500281333923,0.9632999897003174
1,2,500-10,10,300,41.0,0.9614333510398865,0.9611999988555908
0,2,500-10,10,300,0.0,0.9655666947364807,0.9631999731063843
1,2,500-10,10,300,42.0,0.9638333320617676,0.9631999731063843
0,2,500-10,10,300,0.0,0.9646166563034058,0.961899995803833
1,2,500-10,10,300,43.0,0.9626166820526123,0.9603000283241272
0,2,500-10,10,300,0.0,0.9644500017166138,0.9620000123977661
1,2,500-10,10,300,44.0,0.9605000019073486,0.9592999815940857
0,2,500-10,10,300,0.0,0.9628666639328003,0.9613000154495239
1,2,500-10,10,300,45.0,0.9581000208854675,0.9580000042915344
0,2,500-10,10,300,0.0,0.9642666578292847,0.9621999859809875
1,2,500-10,10,300,46.0,0.9623500108718872,0.9613000154495239
0,2,500-10,10,300,0.0,0.9659500122070312,0.963699996471405
1,2,500-10,10,300,47.0,0.9648500084877014,0.9623000025749207
0,2,500-10,10,300,0.0,0.9630666375160217,0.9621000289916992
1,2,500-10,10,300,48.0,0.9561833143234253,0.9550999999046326
0,2,500-10,10,300,0.0,0.965233325958252,0.9614999890327454
1,2,500-10,10,300,49.0,0.963949978351593,0.9624000191688538
0,2,500-10,10,300,0.0,0.9632333517074585,0.9621000289916992
1,2,500-10,10,300,50.0,0.9612666964530945,0.9613000154495239
0,2,500-10,10,300,0.0,0.9660500288009644,0.9639000296592712
1,2,500-10,10,300,51.0,0.9609500169754028,0.9613000154495239
0,2,500-10,10,300,0.0,0.9633333086967468,0.9620000123977661
1,2,500-10,10,300,52.0,0.9577666521072388,0.9574000239372253
0,2,500-10,10,300,0.0,0.965833306312561,0.9638000130653381
1,2,500-10,10,300,53.0,0.9524499773979187,0.9514999985694885
0,2,500-10,10,300,0.0,0.9624500274658203,0.9606000185012817
1,2,500-10,10,300,54.0,0.9622833132743835,0.961899995803833
0,2,500-10,10,300,0.0,0.9656166434288025,0.963699996471405
1,2,500-10,10,300,55.0,0.9616000056266785,0.9592999815940857
0,2,500-10,10,300,0.0,0.9652666449546814,0.9641000032424927
1,2,500-10,10,300,56.0,0.9585000276565552,0.9581000208854675
0,2,500-10,10,300,0.0,0.9656000137329102,0.9629999995231628
1,2,500-10,10,300,57.0,0.9603833556175232,0.9595000147819519
0,2,500-10,10,300,0.0,0.9649500250816345,0.9624999761581421
1,2,500-10,10,300,58.0,0.9524499773979187,0.9513000249862671
0,2,500-10,10,300,0.0,0.9648500084877014,0.9611999988555908
1,2,500-10,10,300,59.0,0.9612166881561279,0.9602000117301941
0,2,500-10,10,300,0.0,0.9653666615486145,0.9635999798774719
1,2,500-10,10,300,60.0,0.9561499953269958,0.9559000134468079
0,2,500-10,10,300,0.0,0.9649333357810974,0.9628999829292297
1,2,500-10,10,300,61.0,0.9594500064849854,0.9585999846458435
0,2,500-10,10,300,0.0,0.9638000130653381,0.961899995803833
1,2,500-10,10,300,62.0,0.9491000175476074,0.9470999836921692
0,2,500-10,10,300,0.0,0.9643666744232178,0.9628000259399414
1,2,500-10,10,300,63.0,0.9469166398048401,0.9487000107765198
0,2,500-10,10,300,0.0,0.965749979019165,0.9650999903678894
1,2,500-10,10,300,64.0,0.9526833295822144,0.9526000022888184
0,2,500-10,10,300,0.0,0.9658666849136353,0.9646999835968018
1,2,500-10,10,300,65.0,0.9518333077430725,0.9510999917984009
0,2,500-10,10,300,0.0,0.964900016784668,0.9635000228881836
1,2,500-10,10,300,66.0,0.9416499733924866,0.9434999823570251
0,2,500-10,10,300,0.0,0.9644833207130432,0.9634000062942505
1,2,500-10,10,300,67.0,0.9534833431243896,0.953499972820282
0,2,500-10,10,300,0.0,0.9657833576202393,0.9656999707221985
1,2,500-10,10,300,68.0,0.9458833336830139,0.9455000162124634
0,2,500-10,10,300,0.0,0.9639999866485596,0.9623000025749207
1,2,500-10,10,300,69.0,0.9347333312034607,0.9358999729156494
0,2,500-10,10,300,0.0,0.9642166495323181,0.9635000228881836
1,2,500-10,10,300,70.0,0.9430666565895081,0.9412999749183655
0,2,500-10,10,300,0.0,0.9634333252906799,0.9620000123977661
1,2,500-10,10,300,71.0,0.9361666440963745,0.9358999729156494
0,2,500-10,10,300,0.0,0.9667999744415283,0.9648000001907349
1,2,500-10,10,300,72.0,0.9271000027656555,0.9280999898910522
0,2,500-10,10,300,0.0,0.9639666676521301,0.9624999761581421
1,2,500-10,10,300,73.0,0.9192500114440918,0.9207000136375427
0,2,500-10,10,300,0.0,0.965583324432373,0.963699996471405
1,2,500-10,10,300,74.0,0.9247000217437744,0.9258999824523926
0,2,500-10,10,300,0.0,0.9651833176612854,0.9635999798774719
1,2,500-10,10,300,75.0,0.9193666577339172,0.919700026512146
0,2,500-10,10,300,0.0,0.9647499918937683,0.9624000191688538
1,2,500-10,10,300,76.0,0.9088666439056396,0.9114999771118164
0,2,500-10,10,300,0.0,0.965833306312561,0.9643999934196472
1,2,500-10,10,300,77.0,0.9204666614532471,0.9204000234603882
0,2,500-10,10,300,0.0,0.9643333554267883,0.9628999829292297
1,2,500-10,10,300,78.0,0.9237666726112366,0.9243999719619751
0,2,500-10,10,300,0.0,0.9645666480064392,0.9634000062942505
1,2,500-10,10,300,79.0,0.9217833280563354,0.9225000143051147
0,2,500-10,10,300,0.0,0.9648833274841309,0.9627000093460083
1,2,500-10,10,300,80.0,0.9076333045959473,0.9144999980926514
0,2,500-10,10,300,0.0,0.9654333591461182,0.9638000130653381
1,2,500-10,10,300,81.0,0.9177833199501038,0.9154999852180481
0,2,500-10,10,300,0.0,0.9641666412353516,0.9621999859809875
1,2,500-10,10,300,82.0,0.8810833096504211,0.8798999786376953
0,2,500-10,10,300,0.0,0.9640499949455261,0.9621000289916992
1,2,500-10,10,300,83.0,0.9006166458129883,0.9024999737739563
0,2,500-10,10,300,0.0,0.9637500047683716,0.9624000191688538
1,2,500-10,10,300,84.0,0.8784833550453186,0.8810999989509583
0,2,500-10,10,300,0.0,0.9655666947364807,0.9629999995231628
1,2,500-10,10,300,85.0,0.8997833132743835,0.9009000062942505
0,2,500-10,10,300,0.0,0.9630666375160217,0.9617000222206116
1,2,500-10,10,300,86.0,0.8736833333969116,0.8733000159263611
0,2,500-10,10,300,0.0,0.9659833312034607,0.9645000100135803
1,2,500-10,10,300,87.0,0.8609333038330078,0.8621000051498413
0,2,500-10,10,300,0.0,0.9644333124160767,0.9627000093460083
1,2,500-10,10,300,88.0,0.8374500274658203,0.8374000191688538
0,2,500-10,10,300,0.0,0.9658833146095276,0.9639000296592712
1,2,500-10,10,300,89.0,0.8059666752815247,0.8126999735832214
0,2,500-10,10,300,0.0,0.9653666615486145,0.9628999829292297
1,2,500-10,10,300,90.0,0.8395666480064392,0.8385999798774719
0,2,500-10,10,300,0.0,0.9644833207130432,0.963100016117096
1,2,500-10,10,300,91.0,0.7649999856948853,0.7692999839782715
0,2,500-10,10,300,0.0,0.9640499949455261,0.9624000191688538
1,2,500-10,10,300,92.0,0.7646499872207642,0.7671999931335449
0,2,500-10,10,300,0.0,0.9650999903678894,0.9627000093460083
1,2,500-10,10,300,93.0,0.7334333062171936,0.741100013256073
0,2,500-10,10,300,0.0,0.9643333554267883,0.9624000191688538
1,2,500-10,10,300,94.0,0.5734000205993652,0.5781000256538391
0,2,500-10,10,300,0.0,0.9650166630744934,0.963100016117096
1,2,500-10,10,300,95.0,0.680733323097229,0.6906999945640564
