isPruned,no_layers,no_nodes,no_epochs,no_batches,pruned_percentile,train_accuracy,test_accuracy
0,2,495,10,300,0.0,0.9640833139419556,0.9631999731063843
0,2,475,10,300,0.0,0.9641500115394592,0.9625999927520752
0,2,450,10,300,0.0,0.9641000032424927,0.9613999724388123
0,2,425,10,300,0.0,0.9611333608627319,0.9602000117301941
0,2,400,10,300,0.0,0.965499997138977,0.9625999927520752
0,2,375,10,300,0.0,0.9631500244140625,0.9613999724388123
0,2,350,10,300,0.0,0.9646499752998352,0.9614999890327454
0,2,325,10,300,0.0,0.9644333124160767,0.9609000086784363
0,2,300,10,300,0.0,0.964733362197876,0.9606000185012817
0,2,275,10,300,0.0,0.9613833427429199,0.9595000147819519
0,2,250,10,300,0.0,0.9635000228881836,0.9628000259399414
0,2,225,10,300,0.0,0.9635000228881836,0.9627000093460083
0,2,200,10,300,0.0,0.9620333313941956,0.9592999815940857
0,2,175,10,300,0.0,0.9642000198364258,0.9613000154495239
0,2,150,10,300,0.0,0.9593833088874817,0.9574999809265137
0,2,125,10,300,0.0,0.9591666460037231,0.9587000012397766
0,2,100,10,300,0.0,0.9614999890327454,0.9595999717712402
0,2,75,10,300,0.0,0.9547333121299744,0.9503999948501587
0,2,50,10,300,0.0,0.9541166424751282,0.953499972820282
0,2,25,10,300,0.0,0.9451333284378052,0.9437000155448914
